City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Hofn,IS,50.52,overcast clouds,64.2539,-15.2082,Hótel Höfn
372,Gateshead,GB,62.19,clear sky,54.9333,-1.6667,Newcastle Gateshead Marriott Hotel MetroCentre
373,Vredendal,ZA,52.52,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
374,Fuxin,CN,81.39,clear sky,42.0156,121.6589,Xinya International Hotel
375,Bandarbeyla,SO,77.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
376,Bloomingdale,US,87.71,clear sky,27.8936,-82.2404,Travel Club for Free
378,Geraldton,AU,52.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
379,Homer,US,63.77,few clouds,59.6425,-151.5483,Beluga Lake Lodge
380,Harper,LR,74.01,overcast clouds,4.375,-7.7169,Screensaver
381,Salar,ES,75.69,clear sky,37.1499,-4.0191,Cortijo de Tajar Hotel
382,Sorochinsk,RU,70.77,clear sky,52.4338,53.1583,Hotel Skazka
383,Mustasaari,FI,61.9,clear sky,63.1142,21.6822,Hotel Astor
384,Muromtsevo,RU,65.57,broken clouds,56.3724,75.2418,Plyazh U Reki Tara
385,Tsabong,BW,60.17,clear sky,-26.0217,22.401,Springbok Motel
386,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
387,Guerrero Negro,MX,74.53,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
388,Uyskoye,RU,64.31,clear sky,54.3775,60.0047,Niva
389,Vardo,NO,57.18,overcast clouds,70.3705,31.1107,Vardø Hotel AS
390,Plyussa,RU,51.85,scattered clouds,58.4308,29.3654,Service hotel
391,Kjollefjord,NO,57.02,light rain,70.9457,27.3465,Hotel Nordkyn
392,Barreirinhas,BR,76.3,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
393,Lingao,CN,81.54,light rain,19.9103,109.6859,Lingao Ditai Inn
394,Vangaindrano,MG,62.74,clear sky,-23.35,47.6,Hotel Fanilo
395,Bijar,IR,65.97,clear sky,35.8668,47.6051,رنگ فروشي جواهري
396,Garissa,KE,71.1,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
397,Scottsboro,US,77.09,overcast clouds,34.6723,-86.0341,Budget Inn
